country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Lao People's Democratic Republic,LA,LAO,418,Urban,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,8,Dry latrines - Traditional latrine,0.086,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,14,Other improved,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,15,"No facility, bush, field",0.327,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,16,Other unimproved,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,17,DK/missing information,0.022,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,8,Dry latrines - Traditional latrine,0.087,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,14,Other improved,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,15,"No facility, bush, field",0.789,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,16,Other unimproved,0.001,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Rural,17,DK/missing information,0.022,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,13,Composting toilets,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,14,Other improved,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,15,"No facility, bush, field",0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,16,Other unimproved,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,National,17,DK/missing information,0.0,Multiple Indicator Cluster Surve - MICS00
Lao People's Democratic Republic,LA,LAO,418,Urban,1,Flush and pour flush - to piped sewer system,0.0,Reproductive Health Survey 2000 - RHS00
Lao People's Democratic Republic,LA,LAO,418,Urban,2,Flush and pour flush - to septic tank,0.0,Reproductive Health Survey 2000 - RHS00
Lao People's Democratic Republic,LA,LAO,418,Urban,3,Flush and pour flush - to pit,0.0,Reproductive Health Survey 2000 - RHS00
Lao People's Democratic Republic,LA,LAO,418,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Reproductive Health Survey 2000 - RHS00
Lao People's Democratic Republic,LA,LAO,418,Urban,5,Flush and pour flush - to elsewhere,0.0,Reproductive Health Survey 2000 - RHS00
Lao People's Democratic Republic,LA,LAO,418,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Reproductive Health Survey 2000 - RHS00
Lao People's Democratic Republic,LA,LAO,418,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Reproductive Health Survey 2000 - RHS00
Lao People's Democratic Republic,LA,LAO,418,Urban,8,Dry latrines - Traditional latrine,0.081,Reproductive Health Survey 2000 - RHS00
Lao People's Democratic Republic,LA,LAO,418,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Reproductive Health Survey 2000 - RHS00
Lao People's Democratic Republic,LA,LAO,418,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Reproductive Health Survey 2000 - RHS00
