country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Liberia,LR,LBR,430,Urban,1,Flush and pour flush - to piped sewer system,0.075,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,2,Flush and pour flush - to septic tank,0.206,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,3,Flush and pour flush - to pit,0.022,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.001,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,5,Flush and pour flush - to elsewhere,0.011,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.074,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.086,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.129,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.078,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,11,Dry latrines - Bucket latrine,0.007,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,13,Composting toilets,0.007,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,14,Other improved,0.0,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,15,"No facility, bush, field",0.283,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,16,Other unimproved,0.021,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,17,DK/missing information,0.0,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,1,Flush and pour flush - to piped sewer system,0.006,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,2,Flush and pour flush - to septic tank,0.016,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,3,Flush and pour flush - to pit,0.002,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.003,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,5,Flush and pour flush - to elsewhere,0.001,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.059,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.084,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.088,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.03,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,11,Dry latrines - Bucket latrine,0.001,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,13,Composting toilets,0.001,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,14,Other improved,0.0,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,15,"No facility, bush, field",0.706,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,16,Other unimproved,0.003,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Rural,17,DK/missing information,0.0,Demographic and Health Survey - DHS07
Liberia,LR,LBR,430,Urban,1,Flush and pour flush - to piped sewer system,0.082,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,2,Flush and pour flush - to septic tank,0.239,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,3,Flush and pour flush - to pit,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,5,Flush and pour flush - to elsewhere,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.106,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.178,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,8,Dry latrines - Traditional latrine,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.039,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.082,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,11,Dry latrines - Bucket latrine,0.008,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,12,Dry latrines - Other,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,13,Composting toilets,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,14,Other improved,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,15,"No facility, bush, field",0.251,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,16,Other unimproved,0.015,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,17,DK/missing information,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,1,Flush and pour flush - to piped sewer system,0.02,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,2,Flush and pour flush - to septic tank,0.012,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,3,Flush and pour flush - to pit,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,5,Flush and pour flush - to elsewhere,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.119,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.165,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,8,Dry latrines - Traditional latrine,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.071,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.018,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,11,Dry latrines - Bucket latrine,0.002,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,12,Dry latrines - Other,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,13,Composting toilets,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,14,Other improved,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,15,"No facility, bush, field",0.57,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,16,Other unimproved,0.021,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Rural,17,DK/missing information,0.0,Core Welfare Indicator Questionnaire - CWIQ07
Liberia,LR,LBR,430,Urban,1,Flush and pour flush - to piped sewer system,0.048,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,2,Flush and pour flush - to septic tank,0.151,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,3,Flush and pour flush - to pit,0.037,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,5,Flush and pour flush - to elsewhere,0.012,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.09,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.299,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,8,Dry latrines - Traditional latrine,0.0,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.096,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.04,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,11,Dry latrines - Bucket latrine,0.006,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,12,Dry latrines - Other,0.0,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,13,Composting toilets,0.011,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,14,Other improved,0.0,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,15,"No facility, bush, field",0.196,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,16,Other unimproved,0.012,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Urban,17,DK/missing information,0.001,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Rural,1,Flush and pour flush - to piped sewer system,0.0,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Rural,2,Flush and pour flush - to septic tank,0.008,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Rural,3,Flush and pour flush - to pit,0.0,Liberia Malaria Indicator Survey - MIS09
Liberia,LR,LBR,430,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Liberia Malaria Indicator Survey - MIS09
