country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Morocco,MA,MAR,504,Urban,1,Flush and pour flush - to piped sewer system,0.848,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,2,Flush and pour flush - to septic tank,0.029,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,3,Flush and pour flush - to pit,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,5,Flush and pour flush - to elsewhere,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,8,Dry latrines - Traditional latrine,0.093,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,11,Dry latrines - Bucket latrine,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,12,Dry latrines - Other,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,13,Composting toilets,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,14,Other improved,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,15,"No facility, bush, field",0.028,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,16,Other unimproved,0.002,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,17,DK/missing information,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,1,Flush and pour flush - to piped sewer system,0.016,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,2,Flush and pour flush - to septic tank,0.092,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,3,Flush and pour flush - to pit,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,5,Flush and pour flush - to elsewhere,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,8,Dry latrines - Traditional latrine,0.319,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,11,Dry latrines - Bucket latrine,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,12,Dry latrines - Other,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,13,Composting toilets,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,14,Other improved,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,15,"No facility, bush, field",0.57,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,16,Other unimproved,0.003,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Rural,17,DK/missing information,0.0,Enquête Nationale sur la Consomation et les Dépense des Ménages - ECM01
Morocco,MA,MAR,504,Urban,1,Flush and pour flush - to piped sewer system,0.861,Enquête Nationale sur la Population et la santé - ENPS11
Morocco,MA,MAR,504,Urban,2,Flush and pour flush - to septic tank,0.057,Enquête Nationale sur la Population et la santé - ENPS11
Morocco,MA,MAR,504,Urban,3,Flush and pour flush - to pit,0.062,Enquête Nationale sur la Population et la santé - ENPS11
Morocco,MA,MAR,504,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquête Nationale sur la Population et la santé - ENPS11
Morocco,MA,MAR,504,Urban,5,Flush and pour flush - to elsewhere,0.0,Enquête Nationale sur la Population et la santé - ENPS11
Morocco,MA,MAR,504,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Enquête Nationale sur la Population et la santé - ENPS11
Morocco,MA,MAR,504,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Enquête Nationale sur la Population et la santé - ENPS11
Morocco,MA,MAR,504,Urban,8,Dry latrines - Traditional latrine,0.0,Enquête Nationale sur la Population et la santé - ENPS11
Morocco,MA,MAR,504,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Enquête Nationale sur la Population et la santé - ENPS11
Morocco,MA,MAR,504,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquête Nationale sur la Population et la santé - ENPS11
Morocco,MA,MAR,504,Urban,11,Dry latrines - Bucket latrine,0.0,Enquête Nationale sur la Population et la santé - ENPS11
