country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Maldives,MV,MDV,462,Urban,1,Flush and pour flush - to piped sewer system,0.725,Census - CEN00
Maldives,MV,MDV,462,Urban,2,Flush and pour flush - to septic tank,0.168,Census - CEN00
Maldives,MV,MDV,462,Urban,3,Flush and pour flush - to pit,0.0,Census - CEN00
Maldives,MV,MDV,462,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN00
Maldives,MV,MDV,462,Urban,5,Flush and pour flush - to elsewhere,0.0,Census - CEN00
Maldives,MV,MDV,462,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN00
Maldives,MV,MDV,462,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN00
Maldives,MV,MDV,462,Urban,8,Dry latrines - Traditional latrine,0.013,Census - CEN00
Maldives,MV,MDV,462,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN00
Maldives,MV,MDV,462,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN00
Maldives,MV,MDV,462,Urban,11,Dry latrines - Bucket latrine,0.0,Census - CEN00
Maldives,MV,MDV,462,Urban,12,Dry latrines - Other,0.0,Census - CEN00
Maldives,MV,MDV,462,Urban,13,Composting toilets,0.0,Census - CEN00
Maldives,MV,MDV,462,Urban,14,Other improved,0.0,Census - CEN00
Maldives,MV,MDV,462,Urban,15,"No facility, bush, field",0.0,Census - CEN00
Maldives,MV,MDV,462,Urban,16,Other unimproved,0.003,Census - CEN00
Maldives,MV,MDV,462,Urban,17,DK/missing information,0.091,Census - CEN00
Maldives,MV,MDV,462,Rural,1,Flush and pour flush - to piped sewer system,0.083,Census - CEN00
Maldives,MV,MDV,462,Rural,2,Flush and pour flush - to septic tank,0.478,Census - CEN00
Maldives,MV,MDV,462,Rural,3,Flush and pour flush - to pit,0.0,Census - CEN00
Maldives,MV,MDV,462,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN00
Maldives,MV,MDV,462,Rural,5,Flush and pour flush - to elsewhere,0.0,Census - CEN00
Maldives,MV,MDV,462,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN00
Maldives,MV,MDV,462,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN00
Maldives,MV,MDV,462,Rural,8,Dry latrines - Traditional latrine,0.074,Census - CEN00
Maldives,MV,MDV,462,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN00
Maldives,MV,MDV,462,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN00
Maldives,MV,MDV,462,Rural,11,Dry latrines - Bucket latrine,0.0,Census - CEN00
Maldives,MV,MDV,462,Rural,12,Dry latrines - Other,0.0,Census - CEN00
Maldives,MV,MDV,462,Rural,13,Composting toilets,0.0,Census - CEN00
Maldives,MV,MDV,462,Rural,14,Other improved,0.0,Census - CEN00
Maldives,MV,MDV,462,Rural,15,"No facility, bush, field",0.236,Census - CEN00
Maldives,MV,MDV,462,Rural,16,Other unimproved,0.006,Census - CEN00
Maldives,MV,MDV,462,Rural,17,DK/missing information,0.123,Census - CEN00
Maldives,MV,MDV,462,National,1,Flush and pour flush - to piped sewer system,0.18,Census - CEN00
Maldives,MV,MDV,462,National,2,Flush and pour flush - to septic tank,0.431,Census - CEN00
Maldives,MV,MDV,462,National,3,Flush and pour flush - to pit,0.0,Census - CEN00
Maldives,MV,MDV,462,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN00
Maldives,MV,MDV,462,National,5,Flush and pour flush - to elsewhere,0.0,Census - CEN00
Maldives,MV,MDV,462,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN00
Maldives,MV,MDV,462,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN00
Maldives,MV,MDV,462,National,8,Dry latrines - Traditional latrine,0.065,Census - CEN00
