country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
North Macedonia,MK,MKD,807,Urban,1,Flush and pour flush - to piped sewer system,0.831,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,2,Flush and pour flush - to septic tank,0.124,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,3,Flush and pour flush - to pit,0.007,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.001,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,5,Flush and pour flush - to elsewhere,0.017,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.001,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.007,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.011,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,15,"No facility, bush, field",0.0,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,16,Other unimproved,0.001,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Rural,1,Flush and pour flush - to piped sewer system,0.307,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Rural,2,Flush and pour flush - to septic tank,0.53,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Rural,3,Flush and pour flush - to pit,0.02,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.014,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Rural,5,Flush and pour flush - to elsewhere,0.058,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.019,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Rural,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.044,Multiple Indicator Cluster Survey - MICS06
North Macedonia,MK,MKD,807,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS06
