country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Myanmar,MM,MMR,104,Urban,1,Flush and pour flush - to piped sewer system,0.036,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,2,Flush and pour flush - to septic tank,0.323,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,5,Flush and pour flush - to elsewhere,0.016,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.048,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.535,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.026,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.004,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,13,Composting toilets,0.003,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,15,"No facility, bush, field",0.008,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,16,Other unimproved,0.002,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,2,Flush and pour flush - to septic tank,0.06,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,5,Flush and pour flush - to elsewhere,0.009,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.031,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.698,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.08,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.003,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,13,Composting toilets,0.014,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,15,"No facility, bush, field",0.097,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,16,Other unimproved,0.007,Multiple Indicator Cluster Survey  - MICS10
Myanmar,MM,MMR,104,Rural,17,DK/missing information,0.0,Multiple Indicator Cluster Survey  - MICS10
