country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Montenegro,ME,MNE,499,Urban,1,Flush and pour flush - to piped sewer system,0.715,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,2,Flush and pour flush - to septic tank,0.17,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,3,Flush and pour flush - to pit,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,5,Flush and pour flush - to elsewhere,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,8,Dry latrines - Traditional latrine,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,11,Dry latrines - Bucket latrine,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,12,Dry latrines - Other,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,13,Composting toilets,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,14,Other improved,0.001,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,15,"No facility, bush, field",0.001,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,16,Other unimproved,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,17,DK/missing information,0.092,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,1,Flush and pour flush - to piped sewer system,0.298,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,2,Flush and pour flush - to septic tank,0.505,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,3,Flush and pour flush - to pit,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,5,Flush and pour flush - to elsewhere,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,8,Dry latrines - Traditional latrine,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,11,Dry latrines - Bucket latrine,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,12,Dry latrines - Other,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,13,Composting toilets,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,14,Other improved,0.007,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,15,"No facility, bush, field",0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,16,Other unimproved,0.0,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Rural,17,DK/missing information,0.098,Household Survey 2004 - HHS04
Montenegro,ME,MNE,499,Urban,1,Flush and pour flush - to piped sewer system,0.665,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,2,Flush and pour flush - to septic tank,0.317,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,8,Dry latrines - Traditional latrine,0.017,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,15,"No facility, bush, field",0.001,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Rural,1,Flush and pour flush - to piped sewer system,0.263,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Rural,2,Flush and pour flush - to septic tank,0.54,Multiple Indicator Cluster Survey - MICS06
Montenegro,ME,MNE,499,Rural,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS06
