country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Northern Mariana Islands,MP,MNP,580,Urban,1,Flush and pour flush - to piped sewer system,0.419,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,2,Flush and pour flush - to septic tank,0.538,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,3,Flush and pour flush - to pit,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,5,Flush and pour flush - to elsewhere,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,8,Dry latrines - Traditional latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,11,Dry latrines - Bucket latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,12,Dry latrines - Other,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,13,Composting toilets,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,14,Other improved,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,15,"No facility, bush, field",0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,16,Other unimproved,0.043,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,17,DK/missing information,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,1,Flush and pour flush - to piped sewer system,0.279,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,2,Flush and pour flush - to septic tank,0.634,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,3,Flush and pour flush - to pit,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,5,Flush and pour flush - to elsewhere,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,8,Dry latrines - Traditional latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,11,Dry latrines - Bucket latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,12,Dry latrines - Other,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,13,Composting toilets,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,14,Other improved,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,15,"No facility, bush, field",0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,16,Other unimproved,0.087,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Rural,17,DK/missing information,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,1,Flush and pour flush - to piped sewer system,0.403,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,2,Flush and pour flush - to septic tank,0.549,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,3,Flush and pour flush - to pit,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,5,Flush and pour flush - to elsewhere,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,8,Dry latrines - Traditional latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,11,Dry latrines - Bucket latrine,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,12,Dry latrines - Other,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,13,Composting toilets,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,14,Other improved,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,15,"No facility, bush, field",0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,16,Other unimproved,0.048,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,National,17,DK/missing information,0.0,CNMI Community Survey - CS00
Northern Mariana Islands,MP,MNP,580,Urban,1,Flush and pour flush - to piped sewer system,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,2,Flush and pour flush - to septic tank,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,3,Flush and pour flush - to pit,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,5,Flush and pour flush - to elsewhere,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,8,Dry latrines - Traditional latrine,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,11,Dry latrines - Bucket latrine,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,12,Dry latrines - Other,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,13,Composting toilets,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,14,Other improved,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,15,"No facility, bush, field",0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,16,Other unimproved,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Urban,17,DK/missing information,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,1,Flush and pour flush - to piped sewer system,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,2,Flush and pour flush - to septic tank,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,3,Flush and pour flush - to pit,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,5,Flush and pour flush - to elsewhere,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,8,Dry latrines - Traditional latrine,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,11,Dry latrines - Bucket latrine,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,12,Dry latrines - Other,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,13,Composting toilets,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,14,Other improved,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,15,"No facility, bush, field",0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,16,Other unimproved,0.0,Census of Population and Housing - CEN00
Northern Mariana Islands,MP,MNP,580,Rural,17,DK/missing information,0.0,Census of Population and Housing - CEN00
