country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Mauritius,MU,MUS,480,Urban,1,Flush and pour flush - to piped sewer system,0.418,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,2,Flush and pour flush - to septic tank,0.518,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,3,Flush and pour flush - to pit,0.047,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,5,Flush and pour flush - to elsewhere,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,8,Dry latrines - Traditional latrine,0.017,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,8,Dry latrines - Traditional latrine,0.012,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,8,Dry latrines - Traditional latrine,0.005,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,11,Dry latrines - Bucket latrine,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,12,Dry latrines - Other,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,13,Composting toilets,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,14,Other improved,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,15,"No facility, bush, field",0.001,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,16,Other unimproved,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Urban,17,DK/missing information,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,1,Flush and pour flush - to piped sewer system,0.019,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,2,Flush and pour flush - to septic tank,0.774,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,3,Flush and pour flush - to pit,0.09,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,5,Flush and pour flush - to elsewhere,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,8,Dry latrines - Traditional latrine,0.115,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,8,Dry latrines - Traditional latrine,0.095,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,8,Dry latrines - Traditional latrine,0.02,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,11,Dry latrines - Bucket latrine,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,12,Dry latrines - Other,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,13,Composting toilets,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,14,Other improved,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,15,"No facility, bush, field",0.002,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,16,Other unimproved,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,Rural,17,DK/missing information,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,1,Flush and pour flush - to piped sewer system,0.189,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,2,Flush and pour flush - to septic tank,0.665,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,3,Flush and pour flush - to pit,0.072,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,5,Flush and pour flush - to elsewhere,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,8,Dry latrines - Traditional latrine,0.074,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,8,Dry latrines - Traditional latrine,0.06,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,8,Dry latrines - Traditional latrine,0.014,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,11,Dry latrines - Bucket latrine,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,12,Dry latrines - Other,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,13,Composting toilets,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,14,Other improved,0.0,Census 2000 - CEN00
Mauritius,MU,MUS,480,National,15,"No facility, bush, field",0.001,Census 2000 - CEN00
