country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Niger,NE,NER,562,Urban,1,Flush and pour flush - to piped sewer system,0.04,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,2,Flush and pour flush - to septic tank,0.037,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,3,Flush and pour flush - to pit,0.0,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,5,Flush and pour flush - to elsewhere,0.0,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.007,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.282,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,8,Dry latrines - Traditional latrine,0.388,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,11,Dry latrines - Bucket latrine,0.005,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,12,Dry latrines - Other,0.0,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,13,Composting toilets,0.0,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,14,Other improved,0.0,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,15,"No facility, bush, field",0.237,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,16,Other unimproved,0.002,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Urban,17,DK/missing information,0.0,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Rural,1,Flush and pour flush - to piped sewer system,0.011,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
Niger,NE,NER,562,Rural,2,Flush and pour flush - to septic tank,0.003,Questionnaire Unifié sur les Indicateurs de Base de Bien-Etre - QUIBB05
