country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Nigeria,NG,NGA,566,Urban,1,Flush and pour flush - to piped sewer system,0.106,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,2,Flush and pour flush - to septic tank,0.145,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,3,Flush and pour flush - to pit,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,5,Flush and pour flush - to elsewhere,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.017,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.456,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,8,Dry latrines - Traditional latrine,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.069,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.057,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,11,Dry latrines - Bucket latrine,0.047,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,12,Dry latrines - Other,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,13,Composting toilets,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,14,Other improved,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,15,"No facility, bush, field",0.102,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,16,Other unimproved,0.102,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,17,DK/missing information,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,1,Flush and pour flush - to piped sewer system,0.012,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,2,Flush and pour flush - to septic tank,0.013,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,3,Flush and pour flush - to pit,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,5,Flush and pour flush - to elsewhere,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.015,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.46,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,8,Dry latrines - Traditional latrine,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.143,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.047,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,11,Dry latrines - Bucket latrine,0.041,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,12,Dry latrines - Other,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,13,Composting toilets,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,14,Other improved,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,15,"No facility, bush, field",0.269,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,16,Other unimproved,0.269,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Rural,17,DK/missing information,0.0,Nigerian Living Standard Survey 2003-2004 - NLSS04
Nigeria,NG,NGA,566,Urban,1,Flush and pour flush - to piped sewer system,0.106,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,2,Flush and pour flush - to septic tank,0.175,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,3,Flush and pour flush - to pit,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,5,Flush and pour flush - to elsewhere,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.02,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.469,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,8,Dry latrines - Traditional latrine,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.089,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.017,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,11,Dry latrines - Bucket latrine,0.003,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,12,Dry latrines - Other,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,13,Composting toilets,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,14,Other improved,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,15,"No facility, bush, field",0.121,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,16,Other unimproved,0.121,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,17,DK/missing information,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,1,Flush and pour flush - to piped sewer system,0.019,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,2,Flush and pour flush - to septic tank,0.031,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,3,Flush and pour flush - to pit,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,5,Flush and pour flush - to elsewhere,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.008,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.419,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,8,Dry latrines - Traditional latrine,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.212,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.027,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,11,Dry latrines - Bucket latrine,0.001,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,12,Dry latrines - Other,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,13,Composting toilets,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,14,Other improved,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,15,"No facility, bush, field",0.283,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,16,Other unimproved,0.283,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Rural,17,DK/missing information,0.0,Core Welfare Indicator Questionnaire - CWIQ06
Nigeria,NG,NGA,566,Urban,1,Flush and pour flush - to piped sewer system,0.127,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,2,Flush and pour flush - to septic tank,0.205,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,3,Flush and pour flush - to pit,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,5,Flush and pour flush - to elsewhere,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.013,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.372,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,8,Dry latrines - Traditional latrine,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.087,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.051,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,11,Dry latrines - Bucket latrine,0.002,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,12,Dry latrines - Other,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,13,Composting toilets,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,14,Other improved,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,15,"No facility, bush, field",0.143,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,16,Other unimproved,0.143,General Household Survey - GHS06
Nigeria,NG,NGA,566,Urban,17,DK/missing information,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,1,Flush and pour flush - to piped sewer system,0.011,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,2,Flush and pour flush - to septic tank,0.022,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,3,Flush and pour flush - to pit,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,5,Flush and pour flush - to elsewhere,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.007,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.369,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,8,Dry latrines - Traditional latrine,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.214,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.031,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,11,Dry latrines - Bucket latrine,0.002,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,12,Dry latrines - Other,0.0,General Household Survey - GHS06
Nigeria,NG,NGA,566,Rural,13,Composting toilets,0.0,General Household Survey - GHS06
