country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Pakistan,PK,PAK,586,Urban,1,Flush and pour flush - to piped sewer system,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,2,Flush and pour flush - to septic tank,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,3,Flush and pour flush - to pit,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,5,Flush and pour flush - to elsewhere,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,8,Dry latrines - Traditional latrine,0.05,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,8,Dry latrines - Traditional latrine,0.05,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,11,Dry latrines - Bucket latrine,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,12,Dry latrines - Other,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,13,Composting toilets,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,14,Other improved,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,15,"No facility, bush, field",0.05,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,16,Other unimproved,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,17,DK/missing information,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,1,Flush and pour flush - to piped sewer system,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,2,Flush and pour flush - to septic tank,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,3,Flush and pour flush - to pit,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,5,Flush and pour flush - to elsewhere,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,8,Dry latrines - Traditional latrine,0.15,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,8,Dry latrines - Traditional latrine,0.15,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,11,Dry latrines - Bucket latrine,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,12,Dry latrines - Other,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,13,Composting toilets,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,14,Other improved,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,15,"No facility, bush, field",0.59,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,16,Other unimproved,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Rural,17,DK/missing information,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,1,Flush and pour flush - to piped sewer system,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,2,Flush and pour flush - to septic tank,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,3,Flush and pour flush - to pit,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,5,Flush and pour flush - to elsewhere,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,8,Dry latrines - Traditional latrine,0.12,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,8,Dry latrines - Traditional latrine,0.12,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,11,Dry latrines - Bucket latrine,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,12,Dry latrines - Other,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,13,Composting toilets,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,14,Other improved,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,15,"No facility, bush, field",0.43,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,16,Other unimproved,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,National,17,DK/missing information,0.0,Integrated Household Survey - PIHS02
Pakistan,PK,PAK,586,Urban,1,Flush and pour flush - to piped sewer system,0.517,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,2,Flush and pour flush - to septic tank,0.231,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,3,Flush and pour flush - to pit,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,5,Flush and pour flush - to elsewhere,0.162,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,8,Dry latrines - Traditional latrine,0.022,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.009,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,11,Dry latrines - Bucket latrine,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,12,Dry latrines - Other,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,13,Composting toilets,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,14,Other improved,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,15,"No facility, bush, field",0.053,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,16,Other unimproved,0.006,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,17,DK/missing information,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,1,Flush and pour flush - to piped sewer system,0.031,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,2,Flush and pour flush - to septic tank,0.24,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,3,Flush and pour flush - to pit,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,5,Flush and pour flush - to elsewhere,0.08,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,8,Dry latrines - Traditional latrine,0.098,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.059,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,11,Dry latrines - Bucket latrine,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,12,Dry latrines - Other,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,13,Composting toilets,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,14,Other improved,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,15,"No facility, bush, field",0.406,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,16,Other unimproved,0.087,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Rural,17,DK/missing information,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,1,Flush and pour flush - to piped sewer system,0.185,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,2,Flush and pour flush - to septic tank,0.237,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,3,Flush and pour flush - to pit,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,5,Flush and pour flush - to elsewhere,0.106,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,8,Dry latrines - Traditional latrine,0.074,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,10,Dry latrines - Hanging toilet/hanging latrine,0.044,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,11,Dry latrines - Bucket latrine,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,12,Dry latrines - Other,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,13,Composting toilets,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,14,Other improved,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,15,"No facility, bush, field",0.294,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,16,Other unimproved,0.061,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,National,17,DK/missing information,0.0,Core Welfare Indicators Questionnaire - CWIQ05
Pakistan,PK,PAK,586,Urban,1,Flush and pour flush - to piped sewer system,0.531,Pakistan Social & Living Standards Measurement Survey 05-06 - PSLM06
Pakistan,PK,PAK,586,Urban,2,Flush and pour flush - to septic tank,0.242,Pakistan Social & Living Standards Measurement Survey 05-06 - PSLM06
Pakistan,PK,PAK,586,Urban,3,Flush and pour flush - to pit,0.0,Pakistan Social & Living Standards Measurement Survey 05-06 - PSLM06
Pakistan,PK,PAK,586,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Pakistan Social & Living Standards Measurement Survey 05-06 - PSLM06
Pakistan,PK,PAK,586,Urban,5,Flush and pour flush - to elsewhere,0.161,Pakistan Social & Living Standards Measurement Survey 05-06 - PSLM06
Pakistan,PK,PAK,586,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Pakistan Social & Living Standards Measurement Survey 05-06 - PSLM06
Pakistan,PK,PAK,586,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Pakistan Social & Living Standards Measurement Survey 05-06 - PSLM06
Pakistan,PK,PAK,586,Urban,8,Dry latrines - Traditional latrine,0.019,Pakistan Social & Living Standards Measurement Survey 05-06 - PSLM06
Pakistan,PK,PAK,586,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Pakistan Social & Living Standards Measurement Survey 05-06 - PSLM06
Pakistan,PK,PAK,586,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.019,Pakistan Social & Living Standards Measurement Survey 05-06 - PSLM06
Pakistan,PK,PAK,586,Urban,11,Dry latrines - Bucket latrine,0.0,Pakistan Social & Living Standards Measurement Survey 05-06 - PSLM06
