country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Panama,PA,PAN,591,Urban,1,Flush and pour flush - to piped sewer system,0.43,Population census - CEN00
Panama,PA,PAN,591,Urban,2,Flush and pour flush - to septic tank,0.246,Population census - CEN00
Panama,PA,PAN,591,Urban,3,Flush and pour flush - to pit,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,5,Flush and pour flush - to elsewhere,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,8,Dry latrines - Traditional latrine,0.294,Population census - CEN00
Panama,PA,PAN,591,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,11,Dry latrines - Bucket latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,12,Dry latrines - Other,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,13,Composting toilets,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,14,Other improved,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,15,"No facility, bush, field",0.012,Population census - CEN00
Panama,PA,PAN,591,Urban,16,Other unimproved,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,17,DK/missing information,0.018,Population census - CEN00
Panama,PA,PAN,591,Rural,1,Flush and pour flush - to piped sewer system,0.006,Population census - CEN00
Panama,PA,PAN,591,Rural,2,Flush and pour flush - to septic tank,0.147,Population census - CEN00
Panama,PA,PAN,591,Rural,3,Flush and pour flush - to pit,0.0,Population census - CEN00
Panama,PA,PAN,591,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Population census - CEN00
Panama,PA,PAN,591,Rural,5,Flush and pour flush - to elsewhere,0.0,Population census - CEN00
Panama,PA,PAN,591,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,Rural,8,Dry latrines - Traditional latrine,0.643,Population census - CEN00
Panama,PA,PAN,591,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Population census - CEN00
Panama,PA,PAN,591,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,Rural,11,Dry latrines - Bucket latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,Rural,12,Dry latrines - Other,0.0,Population census - CEN00
Panama,PA,PAN,591,Rural,13,Composting toilets,0.0,Population census - CEN00
Panama,PA,PAN,591,Rural,14,Other improved,0.0,Population census - CEN00
Panama,PA,PAN,591,Rural,15,"No facility, bush, field",0.196,Population census - CEN00
Panama,PA,PAN,591,Rural,16,Other unimproved,0.0,Population census - CEN00
Panama,PA,PAN,591,Rural,17,DK/missing information,0.009,Population census - CEN00
Panama,PA,PAN,591,National,1,Flush and pour flush - to piped sewer system,0.0,Population census - CEN00
Panama,PA,PAN,591,National,2,Flush and pour flush - to septic tank,0.0,Population census - CEN00
Panama,PA,PAN,591,National,3,Flush and pour flush - to pit,0.0,Population census - CEN00
Panama,PA,PAN,591,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Population census - CEN00
Panama,PA,PAN,591,National,5,Flush and pour flush - to elsewhere,0.0,Population census - CEN00
Panama,PA,PAN,591,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,National,8,Dry latrines - Traditional latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Population census - CEN00
Panama,PA,PAN,591,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,National,11,Dry latrines - Bucket latrine,0.0,Population census - CEN00
Panama,PA,PAN,591,National,12,Dry latrines - Other,0.0,Population census - CEN00
Panama,PA,PAN,591,National,13,Composting toilets,0.0,Population census - CEN00
Panama,PA,PAN,591,National,14,Other improved,0.0,Population census - CEN00
Panama,PA,PAN,591,National,15,"No facility, bush, field",0.0,Population census - CEN00
Panama,PA,PAN,591,National,16,Other unimproved,0.0,Population census - CEN00
Panama,PA,PAN,591,National,17,DK/missing information,0.0,Population census - CEN00
Panama,PA,PAN,591,Urban,1,Flush and pour flush - to piped sewer system,0.468,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,2,Flush and pour flush - to septic tank,0.295,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,3,Flush and pour flush - to pit,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,5,Flush and pour flush - to elsewhere,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,8,Dry latrines - Traditional latrine,0.214,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,8,Dry latrines - Traditional latrine,0.154,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,8,Dry latrines - Traditional latrine,0.059,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,11,Dry latrines - Bucket latrine,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,12,Dry latrines - Other,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,13,Composting toilets,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,14,Other improved,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,15,"No facility, bush, field",0.025,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,16,Other unimproved,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Urban,17,DK/missing information,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,1,Flush and pour flush - to piped sewer system,0.042,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,2,Flush and pour flush - to septic tank,0.203,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,3,Flush and pour flush - to pit,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,5,Flush and pour flush - to elsewhere,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,8,Dry latrines - Traditional latrine,0.62,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,8,Dry latrines - Traditional latrine,0.55,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,8,Dry latrines - Traditional latrine,0.07,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,11,Dry latrines - Bucket latrine,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,12,Dry latrines - Other,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,13,Composting toilets,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,14,Other improved,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,15,"No facility, bush, field",0.136,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,16,Other unimproved,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,Rural,17,DK/missing information,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,National,1,Flush and pour flush - to piped sewer system,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,National,2,Flush and pour flush - to septic tank,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,National,3,Flush and pour flush - to pit,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,National,5,Flush and pour flush - to elsewhere,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,National,8,Dry latrines - Traditional latrine,0.0,Living Standards Measurement Survey - LSMS03
Panama,PA,PAN,591,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Living Standards Measurement Survey - LSMS03
