country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Peru,PE,PER,604,Urban,1,Flush and pour flush - to piped sewer system,0.862,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,2,Flush and pour flush - to septic tank,0.014,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,3,Flush and pour flush - to pit,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,5,Flush and pour flush - to elsewhere,0.002,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.03,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,8,Dry latrines - Traditional latrine,0.067,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,11,Dry latrines - Bucket latrine,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,12,Dry latrines - Other,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,13,Composting toilets,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,14,Other improved,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,15,"No facility, bush, field",0.023,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,16,Other unimproved,0.001,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Urban,17,DK/missing information,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,1,Flush and pour flush - to piped sewer system,0.178,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,2,Flush and pour flush - to septic tank,0.056,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,3,Flush and pour flush - to pit,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,5,Flush and pour flush - to elsewhere,0.004,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.112,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,8,Dry latrines - Traditional latrine,0.447,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,11,Dry latrines - Bucket latrine,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,12,Dry latrines - Other,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
Peru,PE,PER,604,Rural,13,Composting toilets,0.0,"Encuesta Demográfica y de Salud Familiar, 2015 - ENDES16"
