country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Philippines,PH,PHL,608,Urban,1,Flush and pour flush - to piped sewer system,0.035,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,2,Flush and pour flush - to septic tank,0.84,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,3,Flush and pour flush - to pit,0.05,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.001,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,5,Flush and pour flush - to elsewhere,0.007,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.004,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.006,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.011,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.004,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,11,Dry latrines - Bucket latrine,0.001,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,13,Composting toilets,0.002,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,14,Other improved,0.0,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,15,"No facility, bush, field",0.039,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,16,Other unimproved,0.0,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,17,DK/missing information,0.0,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,1,Flush and pour flush - to piped sewer system,0.033,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,2,Flush and pour flush - to septic tank,0.526,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,3,Flush and pour flush - to pit,0.164,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.002,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,5,Flush and pour flush - to elsewhere,0.006,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.017,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.037,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.035,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.017,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,11,Dry latrines - Bucket latrine,0.002,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,13,Composting toilets,0.008,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,14,Other improved,0.0,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,15,"No facility, bush, field",0.153,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,16,Other unimproved,0.0,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Rural,17,DK/missing information,0.0,Demographic and Health Survey - DHS08
Philippines,PH,PHL,608,Urban,1,Flush and pour flush - to piped sewer system,0.047,National and Demographic and Health Survey (NDHS) - NDHS13
Philippines,PH,PHL,608,Urban,2,Flush and pour flush - to septic tank,0.822,National and Demographic and Health Survey (NDHS) - NDHS13
Philippines,PH,PHL,608,Urban,3,Flush and pour flush - to pit,0.038,National and Demographic and Health Survey (NDHS) - NDHS13
Philippines,PH,PHL,608,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,National and Demographic and Health Survey (NDHS) - NDHS13
Philippines,PH,PHL,608,Urban,5,Flush and pour flush - to elsewhere,0.008,National and Demographic and Health Survey (NDHS) - NDHS13
Philippines,PH,PHL,608,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.002,National and Demographic and Health Survey (NDHS) - NDHS13
Philippines,PH,PHL,608,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.012,National and Demographic and Health Survey (NDHS) - NDHS13
Philippines,PH,PHL,608,Urban,8,Dry latrines - Traditional latrine,0.0,National and Demographic and Health Survey (NDHS) - NDHS13
Philippines,PH,PHL,608,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.006,National and Demographic and Health Survey (NDHS) - NDHS13
