country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Senegal,SN,SEN,686,Urban,1,Flush and pour flush - to piped sewer system,0.151,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,2,Flush and pour flush - to septic tank,0.27,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.36,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,8,Dry latrines - Traditional latrine,0.157,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,11,Dry latrines - Bucket latrine,0.001,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,15,"No facility, bush, field",0.023,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,16,Other unimproved,0.034,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,1,Flush and pour flush - to piped sewer system,0.002,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,2,Flush and pour flush - to septic tank,0.022,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.12,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,8,Dry latrines - Traditional latrine,0.426,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,11,Dry latrines - Bucket latrine,0.003,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,15,"No facility, bush, field",0.393,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,16,Other unimproved,0.031,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Rural,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Senegal,SN,SEN,686,Urban,1,Flush and pour flush - to piped sewer system,0.176,Census - CEN02
Senegal,SN,SEN,686,Urban,2,Flush and pour flush - to septic tank,0.407,Census - CEN02
Senegal,SN,SEN,686,Urban,3,Flush and pour flush - to pit,0.0,Census - CEN02
Senegal,SN,SEN,686,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN02
Senegal,SN,SEN,686,Urban,5,Flush and pour flush - to elsewhere,0.0,Census - CEN02
Senegal,SN,SEN,686,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN02
Senegal,SN,SEN,686,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN02
Senegal,SN,SEN,686,Urban,8,Dry latrines - Traditional latrine,0.358,Census - CEN02
Senegal,SN,SEN,686,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN02
Senegal,SN,SEN,686,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN02
Senegal,SN,SEN,686,Urban,11,Dry latrines - Bucket latrine,0.0,Census - CEN02
Senegal,SN,SEN,686,Urban,12,Dry latrines - Other,0.0,Census - CEN02
Senegal,SN,SEN,686,Urban,13,Composting toilets,0.0,Census - CEN02
Senegal,SN,SEN,686,Urban,14,Other improved,0.0,Census - CEN02
Senegal,SN,SEN,686,Urban,15,"No facility, bush, field",0.045,Census - CEN02
