country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Solomon Islands,SB,SLB,090,Urban,1,Flush and pour flush - to piped sewer system,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,2,Flush and pour flush - to septic tank,0.566,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,3,Flush and pour flush - to pit,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,5,Flush and pour flush - to elsewhere,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,8,Dry latrines - Traditional latrine,0.198,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,11,Dry latrines - Bucket latrine,0.11,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,8,Dry latrines - Traditional latrine,0.173,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,11,Dry latrines - Bucket latrine,0.11,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,8,Dry latrines - Traditional latrine,0.025,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
Solomon Islands,SB,SLB,090,Urban,11,Dry latrines - Bucket latrine,0.0,HOUSEHOLD INCOME AND EXPENDITURE SURVEY 2005-2006 - HIES06
