country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
El Salvador,SV,SLV,222,Urban,1,Flush and pour flush - to piped sewer system,0.622,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,2,Flush and pour flush - to septic tank,0.082,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,3,Flush and pour flush - to pit,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,8,Dry latrines - Traditional latrine,0.279,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,8,Dry latrines - Traditional latrine,0.237,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,8,Dry latrines - Traditional latrine,0.042,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,13,Composting toilets,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,14,Other improved,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,15,"No facility, bush, field",0.017,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,16,Other unimproved,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,17,DK/missing information,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,1,Flush and pour flush - to piped sewer system,0.023,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,2,Flush and pour flush - to septic tank,0.067,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,3,Flush and pour flush - to pit,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,8,Dry latrines - Traditional latrine,0.758,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,8,Dry latrines - Traditional latrine,0.687,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,8,Dry latrines - Traditional latrine,0.071,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,13,Composting toilets,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,14,Other improved,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,15,"No facility, bush, field",0.152,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,16,Other unimproved,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Rural,17,DK/missing information,0.0,Multiple Indicator Household Survey - EHPM04
El Salvador,SV,SLV,222,Urban,1,Flush and pour flush - to piped sewer system,0.597,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,2,Flush and pour flush - to septic tank,0.087,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,3,Flush and pour flush - to pit,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,5,Flush and pour flush - to elsewhere,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,8,Dry latrines - Traditional latrine,0.237,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,8,Dry latrines - Traditional latrine,0.222,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,8,Dry latrines - Traditional latrine,0.014,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,11,Dry latrines - Bucket latrine,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,12,Dry latrines - Other,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,13,Composting toilets,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,14,Other improved,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,15,"No facility, bush, field",0.039,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,16,Other unimproved,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Urban,17,DK/missing information,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Rural,1,Flush and pour flush - to piped sewer system,0.024,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Rural,2,Flush and pour flush - to septic tank,0.081,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Rural,3,Flush and pour flush - to pit,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Rural,5,Flush and pour flush - to elsewhere,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Rural,8,Dry latrines - Traditional latrine,0.678,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Rural,8,Dry latrines - Traditional latrine,0.662,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Rural,8,Dry latrines - Traditional latrine,0.016,Encuesta de Hogares de Propositis Multiples - EHPM05
El Salvador,SV,SLV,222,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Encuesta de Hogares de Propositis Multiples - EHPM05
