country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Somalia,SO,SOM,706,Urban,1,Flush and pour flush - to piped sewer system,0.206,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,2,Flush and pour flush - to septic tank,0.014,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,3,Flush and pour flush - to pit,0.413,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,5,Flush and pour flush - to elsewhere,0.002,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.016,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.125,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.144,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,15,"No facility, bush, field",0.076,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,16,Other unimproved,0.001,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Urban,17,DK/missing information,0.002,Multiple Indicator Cluster Survey - MICS06
Somalia,SO,SOM,706,Rural,1,Flush and pour flush - to piped sewer system,0.002,Multiple Indicator Cluster Survey - MICS06
