country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Chad,TD,TCD,148,Urban,1,Flush and pour flush - to piped sewer system,0.0,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,2,Flush and pour flush - to septic tank,0.0,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,3,Flush and pour flush - to pit,0.0,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,5,Flush and pour flush - to elsewhere,0.0,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.013,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,8,Dry latrines - Traditional latrine,0.666,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.1,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.013,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,8,Dry latrines - Traditional latrine,0.666,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.1,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,11,Dry latrines - Bucket latrine,0.0,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,12,Dry latrines - Other,0.0,Enquete de grappes a indicateurs multiples - MICS00
Chad,TD,TCD,148,Urban,13,Composting toilets,0.0,Enquete de grappes a indicateurs multiples - MICS00
