country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Thailand,TH,THA,764,Urban,1,Flush and pour flush - to piped sewer system,0.0,National Census  - CEN00
Thailand,TH,THA,764,Urban,2,Flush and pour flush - to septic tank,0.0,National Census  - CEN00
Thailand,TH,THA,764,Urban,3,Flush and pour flush - to pit,0.0,National Census  - CEN00
Thailand,TH,THA,764,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,National Census  - CEN00
Thailand,TH,THA,764,Urban,5,Flush and pour flush - to elsewhere,0.0,National Census  - CEN00
Thailand,TH,THA,764,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,National Census  - CEN00
Thailand,TH,THA,764,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,National Census  - CEN00
Thailand,TH,THA,764,Urban,8,Dry latrines - Traditional latrine,0.732,National Census  - CEN00
Thailand,TH,THA,764,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,National Census  - CEN00
Thailand,TH,THA,764,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,National Census  - CEN00
Thailand,TH,THA,764,Urban,11,Dry latrines - Bucket latrine,0.0,National Census  - CEN00
Thailand,TH,THA,764,Urban,12,Dry latrines - Other,0.0,National Census  - CEN00
Thailand,TH,THA,764,Urban,13,Composting toilets,0.0,National Census  - CEN00
Thailand,TH,THA,764,Urban,14,Other improved,0.071,National Census  - CEN00
Thailand,TH,THA,764,Urban,15,"No facility, bush, field",0.003,National Census  - CEN00
Thailand,TH,THA,764,Urban,16,Other unimproved,0.002,National Census  - CEN00
Thailand,TH,THA,764,Urban,17,DK/missing information,0.015,National Census  - CEN00
Thailand,TH,THA,764,Rural,1,Flush and pour flush - to piped sewer system,0.0,National Census  - CEN00
Thailand,TH,THA,764,Rural,2,Flush and pour flush - to septic tank,0.0,National Census  - CEN00
Thailand,TH,THA,764,Rural,3,Flush and pour flush - to pit,0.0,National Census  - CEN00
Thailand,TH,THA,764,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,National Census  - CEN00
Thailand,TH,THA,764,Rural,5,Flush and pour flush - to elsewhere,0.0,National Census  - CEN00
Thailand,TH,THA,764,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,National Census  - CEN00
Thailand,TH,THA,764,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,National Census  - CEN00
Thailand,TH,THA,764,Rural,8,Dry latrines - Traditional latrine,0.9,National Census  - CEN00
Thailand,TH,THA,764,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,National Census  - CEN00
Thailand,TH,THA,764,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,National Census  - CEN00
Thailand,TH,THA,764,Rural,11,Dry latrines - Bucket latrine,0.0,National Census  - CEN00
Thailand,TH,THA,764,Rural,12,Dry latrines - Other,0.0,National Census  - CEN00
Thailand,TH,THA,764,Rural,13,Composting toilets,0.0,National Census  - CEN00
Thailand,TH,THA,764,Rural,14,Other improved,0.019,National Census  - CEN00
Thailand,TH,THA,764,Rural,15,"No facility, bush, field",0.025,National Census  - CEN00
Thailand,TH,THA,764,Rural,16,Other unimproved,0.005,National Census  - CEN00
Thailand,TH,THA,764,Rural,17,DK/missing information,0.016,National Census  - CEN00
Thailand,TH,THA,764,National,1,Flush and pour flush - to piped sewer system,0.0,National Census  - CEN00
Thailand,TH,THA,764,National,2,Flush and pour flush - to septic tank,0.0,National Census  - CEN00
Thailand,TH,THA,764,National,3,Flush and pour flush - to pit,0.0,National Census  - CEN00
Thailand,TH,THA,764,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,National Census  - CEN00
Thailand,TH,THA,764,National,5,Flush and pour flush - to elsewhere,0.0,National Census  - CEN00
Thailand,TH,THA,764,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,National Census  - CEN00
Thailand,TH,THA,764,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,National Census  - CEN00
Thailand,TH,THA,764,National,8,Dry latrines - Traditional latrine,0.845,National Census  - CEN00
Thailand,TH,THA,764,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,National Census  - CEN00
Thailand,TH,THA,764,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,National Census  - CEN00
Thailand,TH,THA,764,National,11,Dry latrines - Bucket latrine,0.0,National Census  - CEN00
Thailand,TH,THA,764,National,12,Dry latrines - Other,0.0,National Census  - CEN00
Thailand,TH,THA,764,National,13,Composting toilets,0.0,National Census  - CEN00
Thailand,TH,THA,764,National,14,Other improved,0.036,National Census  - CEN00
Thailand,TH,THA,764,National,15,"No facility, bush, field",0.018,National Census  - CEN00
Thailand,TH,THA,764,National,16,Other unimproved,0.004,National Census  - CEN00
Thailand,TH,THA,764,National,17,DK/missing information,0.015,National Census  - CEN00
Thailand,TH,THA,764,Urban,1,Flush and pour flush - to piped sewer system,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,2,Flush and pour flush - to septic tank,0.696,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,3,Flush and pour flush - to pit,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,5,Flush and pour flush - to elsewhere,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,8,Dry latrines - Traditional latrine,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,11,Dry latrines - Bucket latrine,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,12,Dry latrines - Other,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,13,Composting toilets,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,14,Other improved,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,15,"No facility, bush, field",0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,16,Other unimproved,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Urban,17,DK/missing information,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,1,Flush and pour flush - to piped sewer system,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,2,Flush and pour flush - to septic tank,0.951,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,3,Flush and pour flush - to pit,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,5,Flush and pour flush - to elsewhere,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,8,Dry latrines - Traditional latrine,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,11,Dry latrines - Bucket latrine,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,12,Dry latrines - Other,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,13,Composting toilets,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,14,Other improved,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,15,"No facility, bush, field",0.012,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,16,Other unimproved,0.002,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,Rural,17,DK/missing information,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,National,1,Flush and pour flush - to piped sewer system,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,National,2,Flush and pour flush - to septic tank,0.968,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,National,3,Flush and pour flush - to pit,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,National,5,Flush and pour flush - to elsewhere,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Socio-Economic Survey - SES00
Thailand,TH,THA,764,National,8,Dry latrines - Traditional latrine,0.0,Household Socio-Economic Survey - SES00
