country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Tunisia,TN,TUN,788,Urban,1,Flush and pour flush - to piped sewer system,0.656,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,2,Flush and pour flush - to septic tank,0.266,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.037,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,15,"No facility, bush, field",0.011,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Urban,17,DK/missing information,0.031,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,1,Flush and pour flush - to piped sewer system,0.356,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,2,Flush and pour flush - to septic tank,0.27,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.199,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,15,"No facility, bush, field",0.148,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,Rural,17,DK/missing information,0.019,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,National,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,National,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,National,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,National,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,National,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey - MICS00
Tunisia,TN,TUN,788,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
