country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Tuvalu,TV,TUV,798,Urban,1,Flush and pour flush - to piped sewer system,0.806,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,2,Flush and pour flush - to septic tank,0.038,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,3,Flush and pour flush - to pit,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,5,Flush and pour flush - to elsewhere,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,8,Dry latrines - Traditional latrine,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.027,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,11,Dry latrines - Bucket latrine,0.011,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,12,Dry latrines - Other,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,13,Composting toilets,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,14,Other improved,0.092,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,15,"No facility, bush, field",0.015,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,16,Other unimproved,0.011,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,17,DK/missing information,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,1,Flush and pour flush - to piped sewer system,0.63,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,2,Flush and pour flush - to septic tank,0.15,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,3,Flush and pour flush - to pit,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,5,Flush and pour flush - to elsewhere,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,8,Dry latrines - Traditional latrine,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.088,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,11,Dry latrines - Bucket latrine,0.006,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,12,Dry latrines - Other,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,13,Composting toilets,0.001,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,14,Other improved,0.044,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,15,"No facility, bush, field",0.073,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,16,Other unimproved,0.008,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Rural,17,DK/missing information,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,1,Flush and pour flush - to piped sewer system,0.72,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,2,Flush and pour flush - to septic tank,0.092,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,3,Flush and pour flush - to pit,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,5,Flush and pour flush - to elsewhere,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,8,Dry latrines - Traditional latrine,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,9,Dry latrines - Pit latrine without slab/open pit,0.057,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,11,Dry latrines - Bucket latrine,0.009,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,12,Dry latrines - Other,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,13,Composting toilets,0.001,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,14,Other improved,0.068,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,15,"No facility, bush, field",0.043,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,16,Other unimproved,0.009,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,National,17,DK/missing information,0.0,Tuvalu Demographic and Health Survey - TDHS07
Tuvalu,TV,TUV,798,Urban,1,Flush and pour flush - to piped sewer system,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,2,Flush and pour flush - to septic tank,0.863,Census - CEN12
Tuvalu,TV,TUV,798,Urban,3,Flush and pour flush - to pit,0.06,Census - CEN12
Tuvalu,TV,TUV,798,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,5,Flush and pour flush - to elsewhere,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,8,Dry latrines - Traditional latrine,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,11,Dry latrines - Bucket latrine,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,12,Dry latrines - Other,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,13,Composting toilets,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,14,Other improved,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,15,"No facility, bush, field",0.046,Census - CEN12
Tuvalu,TV,TUV,798,Urban,16,Other unimproved,0.0,Census - CEN12
Tuvalu,TV,TUV,798,Urban,17,DK/missing information,0.0,Census - CEN12
