country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Uganda,UG,UGA,800,Urban,1,Flush and pour flush - to piped sewer system,0.028,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,2,Flush and pour flush - to septic tank,0.054,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,3,Flush and pour flush - to pit,0.003,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,5,Flush and pour flush - to elsewhere,0.001,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.222,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.359,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,8,Dry latrines - Traditional latrine,0.0,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.254,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,11,Dry latrines - Bucket latrine,0.0,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,12,Dry latrines - Other,0.0,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,13,Composting toilets,0.005,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,14,Other improved,0.029,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,15,"No facility, bush, field",0.008,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,16,Other unimproved,0.037,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Urban,17,DK/missing information,0.0,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,1,Flush and pour flush - to piped sewer system,0.002,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,2,Flush and pour flush - to septic tank,0.003,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,3,Flush and pour flush - to pit,0.0,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,5,Flush and pour flush - to elsewhere,0.0,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.072,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.125,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,8,Dry latrines - Traditional latrine,0.0,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.516,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.011,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,11,Dry latrines - Bucket latrine,0.0,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,12,Dry latrines - Other,0.0,"Malaria Indicator Survey, 2014-2015 - MIS15"
Uganda,UG,UGA,800,Rural,13,Composting toilets,0.001,"Malaria Indicator Survey, 2014-2015 - MIS15"
