country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Uruguay,UY,URY,858,Urban,1,Flush and pour flush - to piped sewer system,0.598,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06"
Uruguay,UY,URY,858,Urban,2,Flush and pour flush - to septic tank,0.384,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06"
Uruguay,UY,URY,858,Urban,3,Flush and pour flush - to pit,0.0,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06"
Uruguay,UY,URY,858,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06"
Uruguay,UY,URY,858,Urban,5,Flush and pour flush - to elsewhere,0.005,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06"
Uruguay,UY,URY,858,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06"
Uruguay,UY,URY,858,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06"
Uruguay,UY,URY,858,Urban,8,Dry latrines - Traditional latrine,0.0,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06"
Uruguay,UY,URY,858,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06"
Uruguay,UY,URY,858,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06"
Uruguay,UY,URY,858,Urban,11,Dry latrines - Bucket latrine,0.0,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06"
Uruguay,UY,URY,858,Urban,12,Dry latrines - Other,0.0,"Encuesta Nacional de Hogares Ampliada, Primer trimestre de 2006 - ENH06"
