country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Samoa,WS,WSM,882,Urban,1,Flush and pour flush - to piped sewer system,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,2,Flush and pour flush - to septic tank,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,3,Flush and pour flush - to pit,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,5,Flush and pour flush - to elsewhere,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,8,Dry latrines - Traditional latrine,0.025,Census - CEN06
Samoa,WS,WSM,882,Urban,8,Dry latrines - Traditional latrine,0.023,Census - CEN06
Samoa,WS,WSM,882,Urban,8,Dry latrines - Traditional latrine,0.002,Census - CEN06
Samoa,WS,WSM,882,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,11,Dry latrines - Bucket latrine,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,12,Dry latrines - Other,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,13,Composting toilets,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,14,Other improved,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,15,"No facility, bush, field",0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,16,Other unimproved,0.0,Census - CEN06
Samoa,WS,WSM,882,Urban,17,DK/missing information,0.003,Census - CEN06
Samoa,WS,WSM,882,Rural,1,Flush and pour flush - to piped sewer system,0.0,Census - CEN06
Samoa,WS,WSM,882,Rural,2,Flush and pour flush - to septic tank,0.0,Census - CEN06
Samoa,WS,WSM,882,Rural,3,Flush and pour flush - to pit,0.0,Census - CEN06
Samoa,WS,WSM,882,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN06
Samoa,WS,WSM,882,Rural,5,Flush and pour flush - to elsewhere,0.0,Census - CEN06
Samoa,WS,WSM,882,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN06
Samoa,WS,WSM,882,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN06
Samoa,WS,WSM,882,Rural,8,Dry latrines - Traditional latrine,0.081,Census - CEN06
Samoa,WS,WSM,882,Rural,8,Dry latrines - Traditional latrine,0.076,Census - CEN06
Samoa,WS,WSM,882,Rural,8,Dry latrines - Traditional latrine,0.005,Census - CEN06
Samoa,WS,WSM,882,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN06
Samoa,WS,WSM,882,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN06
Samoa,WS,WSM,882,Rural,11,Dry latrines - Bucket latrine,0.0,Census - CEN06
Samoa,WS,WSM,882,Rural,12,Dry latrines - Other,0.0,Census - CEN06
