country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Yemen,YE,YEM,887,Urban,1,Flush and pour flush - to piped sewer system,0.439,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,2,Flush and pour flush - to septic tank,0.32,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,3,Flush and pour flush - to pit,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,5,Flush and pour flush - to elsewhere,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,8,Dry latrines - Traditional latrine,0.157,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,11,Dry latrines - Bucket latrine,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,12,Dry latrines - Other,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,13,Composting toilets,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,14,Other improved,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,15,"No facility, bush, field",0.077,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,16,Other unimproved,0.007,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,17,DK/missing information,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,1,Flush and pour flush - to piped sewer system,0.025,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,2,Flush and pour flush - to septic tank,0.151,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,3,Flush and pour flush - to pit,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,5,Flush and pour flush - to elsewhere,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,8,Dry latrines - Traditional latrine,0.319,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,11,Dry latrines - Bucket latrine,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,12,Dry latrines - Other,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,13,Composting toilets,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,14,Other improved,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,15,"No facility, bush, field",0.484,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,16,Other unimproved,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Rural,17,DK/missing information,0.0,Family Health Survey - FHS04
Yemen,YE,YEM,887,Urban,1,Flush and pour flush - to piped sewer system,0.418,Multiple Indicator Cluster Survey III - MICS06
Yemen,YE,YEM,887,Urban,2,Flush and pour flush - to septic tank,0.023,Multiple Indicator Cluster Survey III - MICS06
Yemen,YE,YEM,887,Urban,3,Flush and pour flush - to pit,0.468,Multiple Indicator Cluster Survey III - MICS06
