country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Zimbabwe,ZW,ZWE,716,Urban,1,Flush and pour flush - to piped sewer system,0.781,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,2,Flush and pour flush - to septic tank,0.022,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,3,Flush and pour flush - to pit,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,5,Flush and pour flush - to elsewhere,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.097,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.011,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,11,Dry latrines - Bucket latrine,0.001,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.068,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.029,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,11,Dry latrines - Bucket latrine,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,12,Dry latrines - Other,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,13,Composting toilets,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,14,Other improved,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,15,"No facility, bush, field",0.068,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,16,Other unimproved,0.001,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,17,DK/missing information,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,1,Flush and pour flush - to piped sewer system,0.048,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,2,Flush and pour flush - to septic tank,0.004,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,3,Flush and pour flush - to pit,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,5,Flush and pour flush - to elsewhere,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.525,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.041,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,11,Dry latrines - Bucket latrine,0.001,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.435,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.09,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,8,Dry latrines - Traditional latrine,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,11,Dry latrines - Bucket latrine,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,12,Dry latrines - Other,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,13,Composting toilets,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,14,Other improved,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,15,"No facility, bush, field",0.359,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,16,Other unimproved,0.02,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Rural,17,DK/missing information,0.0,World Health Survey - WHS03
Zimbabwe,ZW,ZWE,716,Urban,1,Flush and pour flush - to piped sewer system,0.852,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,2,Flush and pour flush - to septic tank,0.058,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,3,Flush and pour flush - to pit,0.009,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,5,Flush and pour flush - to elsewhere,0.007,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.017,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.036,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.009,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,11,Dry latrines - Bucket latrine,0.001,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,13,Composting toilets,0.0,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,14,Other improved,0.0,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,15,"No facility, bush, field",0.01,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,16,Other unimproved,0.002,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Urban,17,DK/missing information,0.0,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Rural,1,Flush and pour flush - to piped sewer system,0.011,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
Zimbabwe,ZW,ZWE,716,Rural,2,Flush and pour flush - to septic tank,0.013,Multiple Indicator Monitoring Survey (MIMS) - MIMS09
