master_id,microorganism_common_name,pathogen_group,indicator_or_pathogen,authors,bib_id,year_published,location_comment,city,country,technology_description,influent_concentration,influent_concentration_qualifier,influent_independent_measurement_or_statistic,effluent_concentration,effluent_concentration_qualifier,effluent_independent_measurement_or_statistic,month,measurement_method,units,lrv,hrt_days,holdingtime_days,contact_time_minutes,depth_meters,temperature_celsius,moisture_content_percent,coagulant,material,pH,ammonia_concentration_mmol_per_liter,total_solids_mg_per_liter,imputed_values
62,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Kermit, TX, USA","Kermit, TX",United States,Anaerobic Pond,180,=,0,7.5,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,1.4,9,NA,NA,2.6,21.5,NA,NA,NA,NA,NA,NA,
63,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Kermit, TX, USA","Kermit, TX",United States,Anaerobic Pond,148,=,0,33.6,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0.6,9,NA,NA,2.6,9,NA,NA,NA,NA,NA,NA,
64,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Kermit, TX, USA","Kermit, TX",United States,Anaerobic Pond,52,=,0,11.7,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0.6,9,NA,NA,2.6,17.4,NA,NA,NA,NA,NA,NA,
144,Entamoeba coli,Protozoa,pathogen,Bouhoum et al. (2000),5150,2000,"Marrakech, Morocco","Marrakech, Morocco",Morroco,Anaerobic Pond,10000,=,0,200,0,0,0,TlmanĐRivas technique as modified by Bailenger (1962),cysts/L,1.7,9.5,NA,NA,2.3,27.66,NA,NA,NA,NA,NA,NA,Temperature
146,Entamoeba histolytica,Protozoa,pathogen,Bouhoum et al. (2000),5150,2000,"Marrakech, Morocco","Marrakech, Morocco",Morroco,Anaerobic Pond,2000,=,0,60,0,0,0,TlmanĐRivas technique as modified by Bailenger (1962),cysts/L,1.5,9.5,NA,NA,2.3,28,NA,NA,NA,NA,NA,NA,Temperature
148,Giardia,Protozoa,pathogen,Bouhoum et al. (2000),5150,2000,"Marrakech, Morocco","Marrakech, Morocco",Morroco,Anaerobic Pond,3000,=,0,30,0,0,0,TlmanĐRivas technique as modified by Bailenger (1962),cysts/L,2,9.5,NA,NA,2.3,27.66,NA,NA,NA,NA,NA,NA,Temperature
1016,Campylobacter,Bacteria,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,70,=,0,20,0,0,0,MPN Method; Preston broth 42ĄC 24 h; then Preston agar 42ĄC 48 h microaerophilic,MPN/100mL,0.5,1,NA,NA,3.4,25.1,NA,NA,NA,NA,NA,NA,
1021,Culturable Enteric virus,Virus,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,10000,=,0,6000,0,0,0,Adsorption-Elution Plaque Assay; BMG cell line,pfu/L,0.2,1,NA,NA,3.4,25.1,NA,NA,NA,NA,NA,NA,
1026,Rotavirus,Virus,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,800,=,0,200,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/10L,0.6,1,NA,NA,3.4,25.1,NA,NA,NA,NA,NA,NA,
1031,Salmonella,Bacteria,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,20,=,0,8,0,0,0,MPN Method; Muller Kauffmann broth 43ĄC 24 h; Brilliant Green agar 43ĄC 24 h,MPN/100mL,0.4,1,NA,NA,3.4,25.1,NA,NA,NA,NA,NA,NA,
1041,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Anaerobic Pond,140000,=,0,38000,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.6,1,NA,NA,1.5,25,NA,NA,NA,NA,NA,NA,
1043,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Anaerobic Pond,51000,=,0,17000,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.5,1,NA,NA,2.5,25,NA,NA,NA,NA,NA,NA,
1044,Rotavirus,Virus,pathogen,Oragui et al (1995); Pearson et al. (1995),5206,1995,"Catingueira, Campina Grande, Brazil","Catingueira, Campina Grande, Brazil",Brazil,Anaerobic Pond,51000,=,0,17000,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/L,0.5,1,NA,NA,2.5,25,NA,NA,NA,NA,NA,NA,
1075,helminths,Helminth,pathogen,Ouazzani et al. (1995),5208,1995,"Marrakesh, Morocco","Marrakesh, Morocco",Morocco,Anaerobic Pond,8.25,=,Arithmetic mean of ~25 samples,0.1,0,Arithmetic mean of ~25 samples,Winter,Teleman-Rivas technique modified by Bailenger,eggs / L,1.9,0.4,NA,NA,3,27.66,NA,NA,NA,NA,NA,NA,Temperature
1078,helminths,Helminth,pathogen,Ouazzani et al. (1995),5208,1995,"Marrakesh, Morocco","Marrakesh, Morocco",Morocco,Anaerobic Pond,3.14,=,Arithmetic mean of ~25 samples,1.31,0,Arithmetic mean of ~25 samples,Autumn,Teleman-Rivas technique modified by Bailenger,eggs / L,0.4,0.4,NA,NA,3,29,NA,NA,NA,NA,NA,NA,Temperature
3751,Helminths,Helminth,pathogen,Ayres et al. (1993),5146,1993,"Nakuru, Kenya","Nakuru, Kenya",Kenya,Anaerobic Pond,658,0,Single sample,483,0,Arithmetic mean of 2 samples,0,Leeds I and II techniques,eggs / L,0.1,0.4,NA,NA,4,24.87,NA,NA,NA,NA,NA,NA,Temperature
3766,Ascaris,Helminth,pathogen,Grimason et al. (1996),5171,1996,"Nakuru, Kenya","Nakuru, Kenya",Kenya,Anaerobic Pond,133.3,0,Single sample,88.9,0,Single sample,0,"Filtration, sedimentation and centrifugation",eggs / L,0.2,0.8,NA,NA,1.25,13,NA,NA,NA,NA,NA,NA,Temperature; Depth
3767,Ascaris,Helminth,pathogen,Grimason et al. (1996),5171,1996,"Eldoret, Kenya","Eldoret, Kenya",Kenya,Anaerobic Pond,24.3,0,Single sample,3.6,0,Single sample,0,"Filtration, sedimentation and centrifugation",eggs / L,0.8,6.3,NA,NA,1.25,24.5,NA,NA,NA,NA,NA,NA,Temperature; Depth
3844,Helminths,Helminth,pathogen,Konate et al. (2013),5180,2013,"Ouagadougou, Burkina Faso","Ouagadougou, Burkina Faso",Burkina Faso,Anaerobic Pond,41,0,(presumably) arithmetic mean of 24 samples,0.45,0,(presumably) arithmetic mean of 24 samples,0,0,eggs / L,2,6.5,NA,NA,3,27.66,NA,NA,NA,NA,NA,NA,Temperature; Depth
3845,Protozoan cysts,Protozoa,pathogen,Konate et al. (2013),5180,2013,"Ouagadougou, Burkina Faso","Ouagadougou, Burkina Faso",Burkina Faso,Anaerobic Pond,229,0,(presumably) arithmetic mean of 24 samples,5.4,0,(presumably) arithmetic mean of 24 samples,0,0,cysts / L,1.6,6.5,NA,NA,4.1,28,NA,NA,NA,NA,NA,NA,Temperature; Depth
3846,Helminths,Helminth,pathogen,Konat et al. (2013),5180,2013,"2iE Experimental WSP System, Ouagadougou, Burkina Faso","2iE Experimental WSP System, Ouagadougou, Burkina Faso",Burkina Faso,Anaerobic Pond,15.7,0,0,1.5,0,0,0,US EPA (1999) modified by Schwartzbrod (2003) and Victorica and Galvan (2003),eggs / L,1,3.3,NA,NA,2.6,27.66,NA,NA,NA,NA,NA,NA,
3850,Protists,Protozoa,pathogen,Konat et al. (2013),5180,2013,"2iE Experimental WSP System, Ouagadougou, Burkina Faso","2iE Experimental WSP System, Ouagadougou, Burkina Faso",Burkina Faso,Anaerobic Pond,111,0,0,13.4,0,0,0,Adapted from Schwartzbrod and Gaspard (1993),cysts / L,0.9,3.3,NA,NA,2.6,27.66,NA,NA,NA,NA,NA,NA,
3868,Hookworm,Helminth,pathogen,Mara and Silva (1986),5188,1986,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,419,0,Arithmetic mean of ~108 samples,16,0,Arithmetic mean of ~108 samples,0,EXTRABES Method (centrifugation and microscopy),eggs / L,1.4,6.8,NA,NA,1.25,25.62,NA,NA,NA,NA,NA,NA,
3869,Hookworm,Helminth,pathogen,Mara and Silva (1986),5188,1986,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,1079,0,Arithmetic mean of ~52 samples,40,0,Arithmetic mean of ~52 samples,0,EXTRABES Method (centrifugation and microscopy),eggs / L,1.4,4,NA,NA,1.25,25.62,NA,NA,NA,NA,NA,NA,
3870,Ascaris,Helminth,pathogen,Mara and Silva (1986),5188,1986,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,376,0,Arithmetic mean of ~108 samples,13,0,Arithmetic mean of ~108 samples,0,EXTRABES Method (centrifugation and microscopy),eggs / L,1.5,6.8,NA,NA,1.25,25.62,NA,NA,NA,NA,NA,NA,
3871,Ascaris,Helminth,pathogen,Mara and Silva (1986),5188,1986,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,588,0,Arithmetic mean of ~25 samples,20,0,Arithmetic mean of ~25 samples,0,EXTRABES Method (centrifugation and microscopy),eggs / L,1.5,2,NA,NA,1.25,25.62,NA,NA,NA,NA,NA,NA,
3872,Hookworm,Helminth,pathogen,Mara and Silva (1986),5188,1986,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,895,0,Arithmetic mean of ~25 samples,25,0,Arithmetic mean of ~25 samples,0,EXTRABES Method (centrifugation and microscopy),eggs / L,1.6,2,NA,NA,1.25,25.62,NA,NA,NA,NA,NA,NA,
3873,Ascaris,Helminth,pathogen,Mara and Silva (1986),5188,1986,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,397,0,Arithmetic mean of ~52 samples,8,0,Arithmetic mean of ~52 samples,0,EXTRABES Method (centrifugation and microscopy),eggs / L,1.7,4,NA,NA,1.25,25.62,NA,NA,NA,NA,NA,NA,
3881,Helminths,Helminth,pathogen,Oakley (2004),5201,2004,"Danli, Honduras","Danli, Honduras",Honduras,Anaerobic Pond,45,0,Arithmetic mean of 3 samples,2,0,Arithmetic mean of 3 samples,0,Not specified,eggs / L,1.4,2.4,NA,NA,1.25,26,NA,NA,NA,NA,NA,NA,Temperature; Depth
3905,Helminths,Helminth,pathogen,Oliveira et al. (1996),,1996,Brazil,Brazil,Brazil,Anaerobic Pond,477,0,0,278,0,0,0,0,eggs / L,0.2,8.5,NA,NA,1.25,28,NA,NA,NA,NA,NA,NA,Temperature; Depth; HRT
3922,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,107000000,0,Geometric mean of ~30 samples,95900000,0,Geometric mean of ~30 samples,January,"Standard Methods, APHA (1980)",MPN / 100 mL,0,4.6,NA,NA,3.5,11.8,NA,NA,NA,NA,NA,NA,Depth
3923,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,24800000,0,Geometric mean of ~30 samples,22200000,0,Geometric mean of ~30 samples,December,"Standard Methods, APHA (1980)",MPN / 100 mL,0,5.5,NA,NA,1.5,12.1,NA,NA,NA,NA,NA,NA,Depth
3924,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,107000000,0,Geometric mean of ~30 samples,94200000,0,Geometric mean of ~30 samples,February,"Standard Methods, APHA (1980)",MPN / 100 mL,0.1,4.7,NA,NA,3,14.9,NA,NA,NA,NA,NA,NA,Depth
3925,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,24800000,0,Geometric mean of ~30 samples,19000000,0,Geometric mean of ~30 samples,February,"Standard Methods, APHA (1980)",MPN / 100 mL,0.1,4.7,NA,NA,2.6,14.9,NA,NA,NA,NA,NA,NA,Depth
3926,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,24800000,0,Geometric mean of ~30 samples,17800000,0,Geometric mean of ~30 samples,March,"Standard Methods, APHA (1980)",MPN / 100 mL,0.1,7,NA,NA,2.6,15.1,NA,NA,NA,NA,NA,NA,Depth
3927,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,107000000,0,Geometric mean of ~30 samples,75200000,0,Geometric mean of ~30 samples,March,"Standard Methods, APHA (1980)",MPN / 100 mL,0.2,7,NA,NA,2.6,15.1,NA,NA,NA,NA,NA,NA,Depth
3928,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,107000000,0,Geometric mean of ~30 samples,65000000,0,Geometric mean of ~30 samples,December,"Standard Methods, APHA (1980)",MPN / 100 mL,0.2,5.5,NA,NA,3.4,12.1,NA,NA,NA,NA,NA,NA,Depth
3929,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,24800000,0,Geometric mean of ~30 samples,15000000,0,Geometric mean of ~30 samples,January,"Standard Methods, APHA (1980)",MPN / 100 mL,0.2,4.6,NA,NA,2.6,11.8,NA,NA,NA,NA,NA,NA,Depth
3930,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,94200000,0,Geometric mean of ~30 samples,55700000,0,Geometric mean of ~30 samples,February,"Standard Methods, APHA (1980)",MPN / 100 mL,0.2,4.7,NA,NA,2.6,14.9,NA,NA,NA,NA,NA,NA,Depth
3931,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,19000000,0,Geometric mean of ~30 samples,10000000,0,Geometric mean of ~30 samples,February,"Standard Methods, APHA (1980)",MPN / 100 mL,0.3,4.7,NA,NA,2.6,14.9,NA,NA,NA,NA,NA,NA,Depth
3933,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,95900000,0,Geometric mean of ~30 samples,42800000,0,Geometric mean of ~30 samples,January,"Standard Methods, APHA (1980)",MPN / 100 mL,0.4,4.6,NA,NA,2,11.8,NA,NA,NA,NA,NA,NA,Depth
3934,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,17800000,0,Geometric mean of ~30 samples,7940000,0,Geometric mean of ~30 samples,March,"Standard Methods, APHA (1980)",MPN / 100 mL,0.4,7,NA,NA,2,15.1,NA,NA,NA,NA,NA,NA,Depth
3935,Total coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,75200000,0,Geometric mean of ~30 samples,32300000,0,Geometric mean of ~30 samples,March,"Standard Methods, APHA (1980)",MPN / 100 mL,0.4,7,NA,NA,3.5,15.1,NA,NA,NA,NA,NA,NA,Depth
3936,Fecal coliforms,Bacteria,indicator,Saqqar and Pescod (1991),5217,1991,"Al Sumra System, Amman, Jordan","Al Sumra System, Amman, Jordan",Jordan,Anaerobic Pond,15000000,0,Geometric mean of ~30 samples,6180000,0,Geometric mean of ~30 samples,January,"Standard Methods, APHA (1980)",MPN / 100 mL,0.4,4.6,NA,NA,3.4,11.8,NA,NA,NA,NA,NA,NA,Depth
